指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:金融交易:来源:证券投资基金份额:合计,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券投资基金份额:金融机构部门,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券投资基金份额:国内合计,,,,,,,,,,,,,,,1191,5437,3336,-1206,-1566.3,2282,5198,1352.15,15328,23630,11754,21754,18784
资金流量表:金融交易:来源:证券公司客户保证金:合计,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,-4598,-1228.874018
资金流量表:金融交易:来源:证券公司客户保证金:金融机构部门,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,,-1228.874018
资金流量表:金融交易:来源:证券公司客户保证金:国内合计,,,,,,,,,,,,,,,3416,8986,-5340,6272,-2372.87,-6511,-685,-310.41,8169,11200.51,-6226.71,,-1228.874018
资金流量表:金融交易:运用:净金融投资:非金融企业部门,-3342.5,-5672.41,-6682.97,-8079.47,-11967.8,-8965.26,-8446.58,-6418.62,-5269.3,-5725,-10449.7,-14530.7,-9080.74,-14716.4,-9637,-11453,-27546,-25326,-15122.6,-44271,-44272,-37421,-64014,-10806.6,-16006.9,-56254,-79874.50049
资金流量表:金融交易:运用:净金融投资:金融机构部门,59.2,349.58,-105.23,-208.34,2081.14,1154.12,277.15,-991.02,66.86,-2381.87,483.7,2672.01,1742.22,-1462.52,-2454,20450,8490,2066,-2438.55,-1318,-18554,-15838.2,8918,-61245.3,-10758.7,24744,74253.40651
资金流量表:金融交易:运用:净金融投资:政府部门,-654.7,-227.3,-49.27,-88.63,-403.84,-744.87,-1097.93,-2190.22,-999.88,-1068.6,-1752,-540.47,-2429.69,3310.67,4687,-6540,61,8264,5619.04,10178,5899,15809.24,20393,11507.91,-8083.7,155,-46515.48708
资金流量表:金融交易:运用:净金融投资:住户部门,4291.1,4892.05,7499.51,8513.24,10902.39,11027.08,11626.16,10898.08,7898.05,10611.12,14646.54,16122.39,15450.36,26372.17,27706,23119,50290,35907,37715.06,48644,69335,48913.09,50328,81184.71,47870.15,42482,55347.55086
资金流量表:金融交易:运用:净金融投资:国内合计,353.1,-658.08,662.04,136.8,611.93,2471.06,2358.8,1298.22,1695.73,1435.66,2928.44,3726.1,5682.15,13503.9,20300,25575,31296,20911,25772.93,13234,12408,11463.14,15624,20640.67,13020.93,11127,3210.969806
资金流量表:金融交易:运用:净金融投资:国外部门,-353.1,658.08,-662.04,-136.8,-611.93,-2471.06,-2358.8,-1298.22,-1695.72,-1435.66,-2928.44,-3725.63,-5682.15,-13503.9,-20300,-25575,-31296,-20911,-25773.1,-13234,-12408,-11463.1,-15624,-20640.7,-13021.2,-11127,-3210.971307
资金流量表:金融交易:运用:资金运用合计:合计,15410.4,24341.87,35902.85,36401.72,52115.47,,37550.33,41169.25,,48791.73,73868.85,106511.1,110312,133792.3,174525,230180,235310,332691,430416.5,381272,454004,517059.6,539423,591661.3,731159.6,633238,357702.0807
资金流量表:金融交易:运用:资金运用合计:非金融企业部门,3533.7,3447.3,5727.14,4888.97,7730.71,,5096.85,6665.77,,8077.03,10197.05,16673.39,18863.27,14722.12,28092,35237,30415,75031,102863.5,66790,94843,110701.5,78893,130106.3,124236.6,72537,-4162.507366
资金流量表:金融交易:运用:资金运用合计:金融机构部门,6193.4,12800.89,16541.22,17193.53,27207.57,,14663.53,18927.49,,21559.05,36121.2,55668.29,57162.12,70448.15,91050,127793,131280,170913,225547.2,194721,227219,250781.8,316636,290968.1,450762.4,381405,185603.5926
资金流量表:金融交易:运用:资金运用合计:政府部门,23.9,668.27,1384.85,1283.78,1578,,3720.07,914.58,,1999.61,3044.3,3872.35,2186.86,8199.49,8946,14204,5858,19651,19539.34,20363,22344,36401.84,39895,65901.18,36040.99,42914,19147.19121
资金流量表:金融交易:运用:资金运用合计:住户部门,4448.9,5061.56,7766.33,8868.32,10991.72,,12465.74,12214.41,,14117.9,19720.85,23110.01,21252.85,29913.01,34370,35098,57302,60796,68262.82,74140,97059,90763.37,88407,122681.8,118698.3,121970,135700.9362
资金流量表:金融交易:运用:资金运用合计:国内合计,14199.9,21978.02,31419.54,32234.6,47508,,35946.2,38722.25,,45753.59,69083.4,99326.85,99465.1,123282.8,162457,212332,224854,326391,416212.7,356014,441465,488648.5,523831,609657.4,729738.3,618826,336289.2126
资金流量表:金融交易:运用:资金运用合计:国外部门,1210.5,2363.85,4483.31,4167.12,4607.47,,1604.12,2447,,3038.13,4785.45,7184.22,10846.87,10509.55,12068,17848,10456,6300,14202.75,25258,12539,28411.04,15592,-17996.1,1421.06,14412,21412.86813
资金流量表:金融交易:运用:通货:合计,1162.1,1528.7,1424,596.74,916.67,1375.6,1026.54,2251.34,1197.16,1036.16,1589.44,2468.44,1722.31,2563.69,3041,3303,4112,4046,6507.44,6162,3910,3915.4,1688,2957.09,5087.35,2342,2562.815509
资金流量表:金融交易:运用:通货:非金融企业部门,222.8,324.02,305.34,127.94,89.48,139.55,96.68,202.62,107.74,93.25,143.03,222,155.52,230.7,274,297,370,364,585.67,555,321,321.32,152,266.14,457.86,211,230.653396
资金流量表:金融交易:运用:通货:金融机构部门,34.2,30.15,37.95,15.93,34.78,,,,,0.01,0.21,1,-0.96,,,,,,-40.27,153,31,31.07,269,353.05,,,
资金流量表:金融交易:运用:通货:政府部门,48,41.51,13.96,5.85,9.28,14.44,19.37,45.02,23.94,20.72,31.78,49.36,34.56,51.66,60,67,82,81,130.15,123,78,78.31,34,59.14,101.75,47,51.25631
资金流量表:金融交易:运用:通货:住户部门,857.1,1133.02,1066.75,447.02,783.13,1221.62,850.75,1868.61,993.65,873.87,1319.06,2048,1434.2,2127.6,2524,2741,3413,3358,5441.45,4961,3245,3249.78,1132,2101.33,4516.54,2086,1968.605803
资金流量表:金融交易:运用:通货:国内合计,1162.1,1528.7,1424,596.74,916.67,1375.6,966.79,2116.25,1125.33,987.86,1494.09,2320.36,1623.31,2409.89,2858,3105,3865,3803,6116.99,5792,3675,3680.47,1587,2779.66,5076.15,2344,2250.515509
资金流量表:金融交易:运用:通货:国外部门,,,,,,,59.75,135.09,71.85,48.3,95.35,148.08,99,153.8,182,198,247,243,390.45,370,235,234.92,101,177.43,11.2,-2,312.3
资金流量表:金融交易:运用:存款:合计,5964.7,6478.43,11776.92,13414,16720.53,13312.98,14120.99,12342.33,16962.38,19350.81,28104.3,36661.51,32189.43,43295.55,50806,54412,79792,132763,130662.2,116442,132275,156841,135698,161082.8,175304.3,145489,105615.0545
资金流量表:金融交易:运用:存款:非金融企业部门,3348.9,2558.99,4424.18,4518.38,6745.74,4342.26,3847.63,5053.07,7765.55,7096.34,10738.01,15776.31,15710.6,12477.24,19312,28556,23419,65916,62584.23,41373,46968,59271.04,42993,67002.03,83242.08,50647,11724.11941
资金流量表:金融交易:运用:存款:金融机构部门,,,,4518.4,,499.33,141.7,-787.91,537.84,215.17,192.52,501.91,-1572.13,845.17,790,117,3936,3713,3461.7,5396,5290,3931.59,13828,30346.45,1728.47,3976,-11.592258
资金流量表:金融交易:运用:存款:政府部门,-78.1,550.33,1182.88,1172.96,1459.55,975.36,1312.31,918.64,2053.56,2024.82,2898.32,3762.15,2244.55,7937.11,8582,12957,5731,19591,19487.33,19763,20569,36596.58,31870,23972.18,31936.17,36038,16168.2984
资金流量表:金融交易:运用:存款:住户部门,2693.9,3369.11,6169.86,7722.66,8515.24,7496.04,9257.12,7280.53,6609.86,9973.25,14251.7,16559.69,15678.24,21053.46,21284,10407,46543,43160,44491.54,47690,58929,55887.62,44788,46817.75,59333.76,49603,77091.69449
资金流量表:金融交易:运用:存款:国内合计,5964.7,6478.43,11776.92,13414,16720.53,13312.98,14558.75,12464.33,16966.81,19309.58,28080.56,36600.06,32061.26,42312.98,49967,52037,79629,132380,130024.7,114222,131756,155686.8,133478,168138.4,176240.5,140263,104972.52
资金流量表:金融交易:运用:存款:国外部门,,,,,,,-437.77,-122,-4.43,41.23,23.74,61.45,128.17,982.58,839,2375,163,383,637.43,2219,519,1154.16,2220,-7055.6,-936.16,5226,642.53441
资金流量表:金融交易:运用:存款:活期存款:合计,,,,,,,,,,,,,,,,,,,,28628,33482,35452,12364,63491,86508,53987,18200.4959
资金流量表:金融交易:运用:存款:活期存款:非金融机构部门,,,,,,,,,,,,,,,,,,,,5431,6008,6879,-255,31202,41300,,-765.530091
资金流量表:金融交易:运用:存款:活期存款:政府部门,,,,,,,,,,,,,,,,,,,,7485,7684,8769,7668,11522,16324,14509,254.355679
