指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:实物交易:来源:可支配总收入:政府部门,5064.93,6660.32,8427.85,9504.62,11492.83,12878.1,13555.87,15046.42,14314.06,16324.18,19505.94,21946.82,26517.58,32573.69,39724.85,51192.09,60544.07,62603.34,74116.25,90203.21,101301.1,110376,121574.2,127186.1,132368.5,147131.2,171265.5635
资金流量表:实物交易:来源:可支配总收入:住户部门,18090.27,22374.21,30862.01,38491.19,46442.91,50121.32,52688.56,54354.3,66538.67,71865.34,77423.32,87268.45,98508.92,112910.2,131426.4,158558.6,185926.3,207302.4,243121.7,285772.6,321399.2,357113.4,391110,422629.2,459534.7,498528.1,543300.9437
资金流量表:实物交易:来源:可支配总收入:国内合计,26715.53,34628.01,46785.35,57614.64,67028.35,73568.02,77321.79,80988.46,98523,108771.1,120170.4,136421.3,161348.8,185572.4,218141.8,269243.2,319027.5,342482.5,402513.7,470145.4,518431.6,582656.9,644879.3,685655.9,739961.9,819295.9,914193.7611
资金流量表:实物交易:来源:总储蓄:合计,10410.5,15131.81,19329.33,23844.65,26421.45,28025.96,28887.8,30095.97,35308.4,40396.6,45422.11,55172.39,68090.1,75370.82,86555.88,110154.4,136396.2,156590.9,192300.2,228829.3,242844.1,272458.3,299509.5,304439.1,326699.8,369023.8,406086.4417
资金流量表:实物交易:来源:总储蓄:非金融企业部门,3287.5,5194.95,7069.78,9187.96,8494.31,10549.96,10605.09,11136.99,17152.68,19327.19,21313.62,24339.09,33246.66,36987.87,42687.11,54207.96,65450.94,64171.08,72069.17,78990.47,78875.93,100204.4,116262.3,113178.2,118441.7,138998.7,173908.567
资金流量表:实物交易:来源:总储蓄:金融机构部门,272.84,398.53,425.72,430.88,598.31,287.74,472.27,450.75,517.59,1254.42,1927.53,2866.89,3075.63,3100.65,4303.44,5284.53,7106.18,8405.7,13206.55,15179.18,16855.35,14963.2,15932.81,22662.29,29616.9,34637.93,25718.68691
资金流量表:实物交易:来源:总储蓄:政府部门,1572.63,2160.62,2441.65,2814.12,3641.23,4153.23,4071.07,4658.09,-1347.34,-1173.82,746.04,1911.12,4183.46,6174.86,9196.45,15291.69,18791.97,16913.14,20759.85,27048.31,29892.11,29130.09,35801.23,30899.74,25901.52,27943.23,19254.9979
资金流量表:实物交易:来源:总储蓄:住户部门,5630.47,6691.81,10052.24,11546.74,14290.66,15266.75,15767.36,15019.9,20684.07,22429.44,24366.72,29618.65,33290.44,39951.46,48850.92,62226.13,74255.91,83717.77,102363.1,116816,130814.6,137350.9,148570,156649.1,166091.6,180564.1,189176.5655
资金流量表:实物交易:来源:总储蓄:国内合计,10763.43,14445.91,19989.38,23979.69,27024.5,29988.58,30915.79,31265.73,37007,41837.23,48353.91,58735.75,73796.18,86214.83,105037.9,137010.3,165605,173207.7,208398.7,238033.9,256438,281648.5,316566.3,323389.4,340051.8,382143.9,408058.8173
资金流量表:实物交易:来源:总储蓄:国外部门,-352.93,685.9,-660.05,-135.04,-603.05,-1962.62,-2027.99,-1169.76,-1698.6,-1440.63,-2931.8,-3563.36,-5706.08,-10844,-18482,-26856,-29208.8,-16616.8,-16098.5,-9204.7,-13593.9,-9190.25,-17056.8,-18950.3,-13352,-13120.1,-1972.375579
